name,number,locality_id,ward,mail_only,ballot_style_image_url,id
004-067,,3000,,,,900100
006-000,,3001,,,,900101
006-009,,3002,,,,900102
006-021,,3003,,,,900103
006-032,,3004,,,,900104
006-041,,3005,,,,900105
009-069,,3006,,,,900106
012-051,,3007,,,,900107
012-067,,3008,,,,900108
013-000,,3009,,,,900109
013-009,,3010,,,,900110
013-041,,3011,,,,900111
013-055,,3012,,,,900112
013-062,,3013,,,,900113
017-038,,3014,,,,900114
023-027,,3015,,,,900115
023-089,,3016,,,,900116
025-006,,3017,,,,900117
025-010,,3018,,,,900118
025-070,,3019,,,,900119
025-090,,3020,,,,900120
025-111,,3021,,,,900121
027-028,,3022,,,,900122
034-000,,3023,,,,900123
034-010,,3024,,,,900124
036-072,,3025,,,,900125
036-087,,3026,,,,900126
036-099,,3027,,,,900127
042-018,,3028,,,,900128
042-097,,3029,,,,900129
051-092,,3030,,,,900130
055-015,,3031,,,,900131
055-067,,3032,,,,900132
