Location Name,Street,City,State/ZIP,Country,Precinct
Yorkside Pizza,288 York Street,New Haven,CT 06511,USA,CON-069
Library,301-399 South Boulevard Drive,Bainbridge,GA 39819,USA,GEO-062
Luxury Boston,150-151 Tremont Street,Boston,MA 02111,USA,MAS-111
Ingleside Village Pizza,2395 Ingleside Avenue,Macon,GA 31204,USA,GEO-041
Pizza House,1007 Merchant Street,Ambridge,PA 15003,USA,MAS-018
Cre8tive Apparel,859 Washington Avenue,Miami Beach,FL 33139,USA,FLO-051
Hearth Pizzeria,974 Great Plain Avenue Needham MA 02492,USA,MAS-006,,
Stonewood Tavern,139 Lynnfield Street,Peabody,MA 01960,USA,MAS-090
Dolceria,180 Nassau Street,Princeton,NJ 08542,USA,NEWJ-010
Senior High School,563 Carlsbad Village Drive,Carlsbad,CA 92008,USA,CAL-032
Tim Hortons,5110-5140 Main Street,Buffalo,NY 14221,USA,NEWY-072
Eddie's Pizza,2048 Hillside Avenue,New Hyde Park,NY 11040,USA,NEWY-099
Higgins Building,108 West 2nd Street,Los Angeles,CA 90012,USA,CAL-021
Community Center,29 Godwin Avenue,Ridgewood NJ 07450,USA,NEWJ-000,
Antico Pizza,1093 Hemphill Avenue Northwest,Atlanta,GA 30318,USA,GEO-000
Sal's Pizza,328 Boston Road,Billerica,MA 01821,USA,MAS-010
The Pruneyard Shopping Center,1875 South Bascom Avenue,Campbell,CA 95008,USA,CAL-000
Waffle House,6444-6544 Georgia 85,Riverdale,GA 30274,USA,GEO-009
Middle School Gym,443 Emerson Street,Palo Alto,CA 94301,USA,CAL-041
Eye Etc,484 Moreland Avenue Northeast,Atlanta,GA 30307,USA,GEO-055
Pizza Luce,210 Blake Road North,Hopkins,MN 55343,USA,MIN-028
SVL Productions,311 East State Street,Rockford,IL 61104,USA,ILL-038
Organ Stop Pizza,1149 East Southern Avenue,Mesa,AZ 85204,USA,ARI-067
Upper Crust Pizzeria,1782 Massachusetts Ave Cambridge MA 02140,USA,MAS-070,,
YMCA,1101 South Joyce Street,Arlington,VA 22202,USA,VIR-092
Elementaray School Auditorium,574 Congress Street,Portland,ME 04101,USA,MAI-089
Michelangelo's Coffee House,114 State Street,Madison,WI 53703,USA,WIS-015
Courthouse,9600-9708 West Linebaugh Avenue,Westchase,FL 33626,USA,FLO--67
Mary's Pizza Shack,3085 Jefferson Street,Napa,CA 94559,USA,CAL-009
Pizza Brain,2313 Frankford Avenue,Philadelphia,PA 19125,USA,PEN-097
Ian's Pizza Milwaukee,2035 East North Avenue Milwaukee WI,53211,USA,WIS-067,
Augusta Civic Center Inn,110 Community Drive,Augusta,ME 04330,USA,MAI-027
Artichoke Basille's Pizza,114 10th Avenue,New York,NY 10011,USA,NEWY-087
